Year,County,PQI,PQIDescription,Count_ICD10,Population_ICD10,ObsRate_ICD10
2016,Alameda,1,Diabetes Short-term Complications,716,"1,304,840",54.9
2017,Alameda,1,Diabetes Short-term Complications,618,"1,314,687",47.0
2018,Alameda,1,Diabetes Short-term Complications,651,"1,323,933",49.2
2019,Alameda,1,Diabetes Short-term Complications,637,"1,329,186",47.9
2020,Alameda,1,Diabetes Short-term Complications,634,"1,344,023",47.2
2021,Alameda,1,Diabetes Short-term Complications,657,"1,317,990",49.8
2022,Alameda,1,Diabetes Short-term Complications,654,"1,311,253",49.9
2016,Alameda,3,Diabetes Long-term Complications,700,"1,304,840",53.6
2017,Alameda,3,Diabetes Long-term Complications,911,"1,314,687",69.3
2018,Alameda,3,Diabetes Long-term Complications,793,"1,323,933",59.9
2019,Alameda,3,Diabetes Long-term Complications,820,"1,329,186",61.7
2020,Alameda,3,Diabetes Long-term Complications,722,"1,344,023",53.7
2021,Alameda,3,Diabetes Long-term Complications,748,"1,317,990",56.8
2022,Alameda,3,Diabetes Long-term Complications,821,"1,311,253",62.6
2016,Alameda,14,Uncontrolled Diabetes,329,"1,304,840",25.2
2017,Alameda,14,Uncontrolled Diabetes,252,"1,314,687",19.2
2018,Alameda,14,Uncontrolled Diabetes,247,"1,323,933",18.7
2019,Alameda,14,Uncontrolled Diabetes,311,"1,329,186",23.4
2020,Alameda,14,Uncontrolled Diabetes,237,"1,344,023",17.6
2021,Alameda,14,Uncontrolled Diabetes,273,"1,317,990",20.7
2022,Alameda,14,Uncontrolled Diabetes,297,"1,311,253",22.7
2016,Alameda,93,Diabetes Composite,"1,895","1,304,840",145.2
2017,Alameda,93,Diabetes Composite,"1,912","1,314,687",145.4
2018,Alameda,93,Diabetes Composite,"1,820","1,323,933",137.5
2019,Alameda,93,Diabetes Composite,"1,897","1,329,186",142.7
2020,Alameda,93,Diabetes Composite,"1,773","1,344,023",131.9
2021,Alameda,93,Diabetes Composite,"1,819","1,317,990",138.0
2022,Alameda,93,Diabetes Composite,"1,945","1,311,253",148.3
2016,Alpine,1,Diabetes Short-term Complications,0,860,0.0
2017,Alpine,1,Diabetes Short-term Complications,0,909,0.0
2018,Alpine,1,Diabetes Short-term Complications,0,886,0.0
2019,Alpine,1,Diabetes Short-term Complications,0,909,0.0
2020,Alpine,1,Diabetes Short-term Complications,0,981,0.0
2021,Alpine,1,Diabetes Short-term Complications,1,"1,019",98.1
2022,Alpine,1,Diabetes Short-term Complications,0,998,0.0
2016,Alpine,3,Diabetes Long-term Complications,0,860,0.0
2017,Alpine,3,Diabetes Long-term Complications,1,909,110.0
2018,Alpine,3,Diabetes Long-term Complications,1,886,112.9
2019,Alpine,3,Diabetes Long-term Complications,1,909,110.0
2020,Alpine,3,Diabetes Long-term Complications,1,981,101.9
2021,Alpine,3,Diabetes Long-term Complications,1,"1,019",98.1
2022,Alpine,3,Diabetes Long-term Complications,0,998,0.0
2016,Alpine,14,Uncontrolled Diabetes,0,860,0.0
2017,Alpine,14,Uncontrolled Diabetes,0,909,0.0
2018,Alpine,14,Uncontrolled Diabetes,0,886,0.0
2019,Alpine,14,Uncontrolled Diabetes,0,909,0.0
2020,Alpine,14,Uncontrolled Diabetes,0,981,0.0
2021,Alpine,14,Uncontrolled Diabetes,0,"1,019",0.0
2022,Alpine,14,Uncontrolled Diabetes,0,998,0.0
2016,Alpine,93,Diabetes Composite,0,860,0.0
2017,Alpine,93,Diabetes Composite,1,909,110.0
2018,Alpine,93,Diabetes Composite,1,886,112.9
2019,Alpine,93,Diabetes Composite,1,909,110.0
2020,Alpine,93,Diabetes Composite,1,981,101.9
2021,Alpine,93,Diabetes Composite,2,"1,019",196.3
2022,Alpine,93,Diabetes Composite,0,998,0.0
2016,Amador,1,Diabetes Short-term Complications,17,"31,586",53.8
2017,Amador,1,Diabetes Short-term Complications,15,"32,677",45.9
2018,Amador,1,Diabetes Short-term Complications,25,"33,425",74.8
2019,Amador,1,Diabetes Short-term Complications,26,"33,684",77.2
2020,Amador,1,Diabetes Short-term Complications,18,"34,367",52.4
2021,Amador,1,Diabetes Short-term Complications,26,"34,879",74.5
2022,Amador,1,Diabetes Short-term Complications,31,"35,068",88.4
2016,Amador,3,Diabetes Long-term Complications,24,"31,586",76.0
2017,Amador,3,Diabetes Long-term Complications,28,"32,677",85.7
2018,Amador,3,Diabetes Long-term Complications,25,"33,425",74.8
2019,Amador,3,Diabetes Long-term Complications,27,"33,684",80.2
2020,Amador,3,Diabetes Long-term Complications,29,"34,367",84.4
2021,Amador,3,Diabetes Long-term Complications,27,"34,879",77.4
2022,Amador,3,Diabetes Long-term Complications,32,"35,068",91.3
2016,Amador,14,Uncontrolled Diabetes,12,"31,586",38.0
2017,Amador,14,Uncontrolled Diabetes,8,"32,677",24.5
2018,Amador,14,Uncontrolled Diabetes,10,"33,425",29.9
2019,Amador,14,Uncontrolled Diabetes,9,"33,684",26.7
2020,Amador,14,Uncontrolled Diabetes,9,"34,367",26.2
2021,Amador,14,Uncontrolled Diabetes,11,"34,879",31.5
2022,Amador,14,Uncontrolled Diabetes,9,"35,068",25.7
2016,Amador,93,Diabetes Composite,57,"31,586",180.5
2017,Amador,93,Diabetes Composite,55,"32,677",168.3
2018,Amador,93,Diabetes Composite,65,"33,425",194.5
2019,Amador,93,Diabetes Composite,64,"33,684",190.0
2020,Amador,93,Diabetes Composite,59,"34,367",171.7
2021,Amador,93,Diabetes Composite,66,"34,879",189.2
2022,Amador,93,Diabetes Composite,76,"35,068",216.7
2016,Butte,1,Diabetes Short-term Complications,201,"180,760",111.2
2017,Butte,1,Diabetes Short-term Complications,167,"182,932",91.3
2018,Butte,1,Diabetes Short-term Complications,174,"184,337",94.4
2019,Butte,1,Diabetes Short-term Complications,183,"174,575",104.8
2020,Butte,1,Diabetes Short-term Complications,172,"167,698",102.6
2021,Butte,1,Diabetes Short-term Complications,174,"164,365",105.9
2022,Butte,1,Diabetes Short-term Complications,198,"165,784",119.4
2016,Butte,3,Diabetes Long-term Complications,129,"180,760",71.4
2017,Butte,3,Diabetes Long-term Complications,201,"182,932",109.9
2018,Butte,3,Diabetes Long-term Complications,169,"184,337",91.7
2019,Butte,3,Diabetes Long-term Complications,192,"174,575",110.0
2020,Butte,3,Diabetes Long-term Complications,174,"167,698",103.8
2021,Butte,3,Diabetes Long-term Complications,181,"164,365",110.1
2022,Butte,3,Diabetes Long-term Complications,180,"165,784",108.6
2016,Butte,14,Uncontrolled Diabetes,133,"180,760",73.6
2017,Butte,14,Uncontrolled Diabetes,164,"182,932",89.7
2018,Butte,14,Uncontrolled Diabetes,123,"184,337",66.7
2019,Butte,14,Uncontrolled Diabetes,135,"174,575",77.3
